xxxx;;;;;;;;;;;;;;x
market_liberal_VIC;´óÖÚ¹²ºÍÔË¶¯;MRP;MRP;;MRP;;;;;;;;;;x
social_liberal_VIC;ARV;ARV;ARV;;ARV;;;;;;;;;;x
social_democrat_VIC;¹¤ÈË¹ú¼Ê·¨¹ú·ÖÉç;SIFO;SIFO;;SIFO;;;;;;;;;;x
left_wing_radical_VIC;RAD;RAD;RAD;;RAD;;;;;;;;;;x
leninist_VIC;GBL;GBL;GBL;;GBL;;;;;;;;;;x
stalinist_VIC;·¨¹ú¹²²úµ³;PCF;PCF;;PCF;;;;;;;;;;x
national_socialist_YEM;°¢À­²®¹úÉçµ³;Parti national socialiste arabe;Nationalsozialistische Partei Arabiens;;Partido Nacionalsocialista ¨¢rabe;;;;;;;;;;x
fascistic_YEM;°¢À­²®·¨Î÷Ë¹Ö÷ÒåÕóÏß;Front fasciste arabe;Faschistische Front Arabiens;;Frente Fascista ¨¢rabe;;;;;;;;;;x
paternal_autocrat_YEM;Ãñ×åµ³;Parti national;Nationalpartei;;Partido Nacional;;;;;;;;;;x
social_conservative_YEM;ÄÂË¹ÁÖĞÖµÜ»á;Fr¨¨res musulmans;Muslimische Bruderschaft;;Hermanos Musulmanes;;;;;;;;;;x
market_liberal_YEM;¸Ä¸ïµ³;Parti r¨¦formiste;Reformpartei;;Partido Reformista;;;;;;;;;;x
social_liberal_YEM;°¢À­²®ÃñÖ÷ÁªÃËµ³ ;Parti unioniste d¨¦mocratique arabe;Arabische Demokratische Einheitspartei;;Partido ¨¢rabe Unionista Democr¨¢tico ;;;;;;;;;;x
social_democrat_YEM;°¢À­²®Éç»áÖ÷ÒåÁªÃË;Union socialiste arabe;Arabische Sozialistische Union;;Uni¨®n Socialista ¨¢rabe;;;;;;;;;;x
left_wing_radical_YEM;°¢À­²® Socialist Movement;Mouvement socialiste arabe;Arabische Sozialistische Bewegung;;Movimiento Socialista ¨¢rabe;;;;;;;;;;x
leninist_YEM;¸´ĞËµ³;Parti Baas;Baath-Partei;;Partido Ba'ath;;;;;;;;;;x
stalinist_YEM;Ò²ÃÅ¹²²úµ³;Parti communiste y¨¦m¨¦nite;Kommunistische Partei des Jemens;;Partido?Comunista del Yemen;;;;;;;;;;x
national_socialist_YUG;µÂÒâÖ¾µ³;Partei der Deutschen;Partei der Deutschen;;Partei der Deutschen;;;;;;;;;;x
fascistic_YUG;ZBOR;ZBOR;ZBOR;;ZBOR;;;;;;;;;;x
paternal_autocrat_YUG;Ãñ×å¼¤½øµ³;Narodna radikalna stranka;Narodna radikalna stranka;;Narodna radikalna stranka;;;;;;;;;;x
social_conservative_YUG;Å©ÃñÃñÖ÷ÁªºÏ;Seljacko-demokratska koalicija;Seljacko-demokratska koalicija;;Seljacko-demokratska koalicija;;;;;;;;;;x
market_liberal_YUG;×ÔÓÉµ³;Liberalna stranka;Liberalna stranka;;Liberalna stranka;;;;;;;;;;x
social_liberal_YUG;ÃñÖ÷µ³;Demokratska stranka;Demokratska stranka;;Demokratska stranka;;;;;;;;;;x
social_democrat_YUG;ÄÏË¹À­·ò¹²ºÍµ³;Jugoslovenska republikanska stranka;Jugoslovenska republikanska stranka;;Jugoslovenska republikanska stranka;;;;;;;;;;x
left_wing_radical_YUG;ÖĞ¼äÅÉ;Centrumasi;Centrumasi;;Centrumasi;;;;;;;;;;x
leninist_YUG;ÄÏË¹À­·òÉç»áÖ÷Òå¹¤µ³;Socijalisticka radnicka partija Jugoslavije;Socijalisticka radnicka partija Jugoslavije;;Socijalisticka radnicka partija Jugoslavije;;;;;;;;;;x
stalinist_YUG;ÄÏË¹À­·ò¹²²úµ³;Komunisticka partija Jugoslavije;Komunisticka partija Jugoslavije;;Komunisticka partija Jugoslavije;;;;;;;;;;x
